"CLIENTNUM","Attrition_Flag","Customer_Age","Gender","Dependent_count","Education_Level","Marital_Status","Income_Category","Card_Category","Months_on_book","Total_Relationship_Count","Months_Inactive_12_mon","Contacts_Count_12_mon","Credit_Limit","Total_Revolving_Bal","Avg_Open_To_Buy","Total_Amt_Chng_Q4_Q1","Total_Trans_Amt","Total_Trans_Ct","Total_Ct_Chng_Q4_Q1","Avg_Utilization_Ratio","Cluster"
710930508,"Existing Customer",37,"M",3,"Uneducated","Single","$60K - $80K","Blue",36,5,2,0,22352,2517,19835,3.355,1350,24,1.182,0.113,"8"
719661558,"Existing Customer",48,"M",2,"Graduate","Single","$80K - $120K","Blue",36,6,3,3,11656,1677,9979,1.524,1441,32,0.882,0.144,"8"
710599683,"Existing Customer",56,"M",1,"College","Single","$80K - $120K","Blue",36,3,6,0,11751,0,11751,3.397,1539,17,3.25,0,"8"
709967358,"Existing Customer",48,"M",4,"Post-Graduate","Single","$80K - $120K","Blue",36,6,2,3,30367,2362,28005,1.708,1671,27,0.929,0.078,"8"
827111283,"Existing Customer",45,"M",3,"Graduate","Single","$80K - $120K","Blue",41,2,2,2,32426,578,31848,1.042,1109,28,0.474,0.018,"8"
712661433,"Existing Customer",49,"M",4,"Uneducated","Single","$80K - $120K","Blue",30,3,2,3,34516,0,34516,1.621,1444,28,1.333,0,"8"
771490833,"Existing Customer",52,"M",1,"College","Single","$80K - $120K","Blue",40,5,1,1,4745,1227,3518,0.624,1140,40,0.6,0.259,"8"
714091983,"Existing Customer",42,"M",2,"High School","Single","$60K - $80K","Blue",34,4,4,3,3336,1753,1583,0.69,1168,27,1.25,0.525,"8"
710082708,"Existing Customer",44,"M",4,"Post-Graduate","Single","$120K +","Blue",32,2,4,2,23957,2102,21855,0.997,1276,26,0.733,0.088,"8"
708155733,"Existing Customer",53,"M",2,"High School","Single","$120K +","Blue",44,4,2,2,14734,1634,13100,0.989,1289,23,0.917,0.111,"8"
715971108,"Existing Customer",51,"M",4,"Graduate","Single","$120K +","Blue",42,3,2,3,34516,1763,32753,1.266,1550,41,1.05,0.051,"8"
789973308,"Existing Customer",44,"M",1,"College","Single","$60K - $80K","Blue",35,3,3,3,24312,1932,22380,1.312,1341,24,1.182,0.079,"8"
712876233,"Existing Customer",53,"M",2,"Graduate","Single","$80K - $120K","Blue",36,5,3,2,5272,1515,3757,0.857,1289,33,0.435,0.287,"8"
715398033,"Existing Customer",53,"M",2,"High School","Single","$120K +","Blue",35,4,2,1,19040,2056,16984,0.607,1212,31,0.722,0.108,"8"
